,10,100,1000,10000,100000,1000000
2,1952975,3561475,11296287,43349387,308810575,2582478937,0,0,0
4,5747987,6498737,19712525,77314425,558780462,4610008812,0,0,0
8,7481912,8718337,24577537,97394675,687332750,5664784775,0,0,0
16,9120825,11049600,27974800,110210600,754782400,6201662850,0,0,0
32,-1,13061725,30604287,118010125,792200362,6502430375,0,0,0
64,0,14749350,32666912,123065262,814863462,6679671175,0,0,0
128,0,16509962,34560225,126858750,828818637,6790155287,0,0,0
256,0,-1,36299887,129641800,838096162,6858928162,0,0,0
512,0,0,38187225,132018075,844062937,6901397437,0,0,0
1024,0,0,39939175,134732125,849301887,6932168987,0,0,0
2048,0,0,-1,136826575,854636662,6960056275,0,0,0
4096,0,0,0,138796000,859296475,6986419087,0,0,0
8192,0,0,0,140648262,863830387,7011511550,0,0,0
16384,0,0,0,142432325,868302200,7036448937,0,0,0
32768,0,0,0,-1,872928825,7061415562,0,0,0
65536,0,0,0,0,878226937,7086548812,0,0,0
131072,0,0,0,0,883006612,7113942487,0,0,0
262144,0,0,0,0,-1,7141838487,0,0,0
524288,0,0,0,0,0,7175331800,0,0,0
1048576,0,0,0,0,0,7208067825,0,0,0
2097152,0,0,0,0,0,-1,0,0,0
4194304,0,0,0,0,0,0,0,0,0
8388608,0,0,0,0,0,0,0,0,0
16777216,0,0,0,0,0,0,0,0,0
33554432,0,0,0,0,0,0,0,0,0
67108864,0,0,0,0,0,0,0,0,0
134217728,0,0,0,0,0,0,0,0,0
268435456,0,0,0,0,0,0,0,0,0
536870912,0,0,0,0,0,0,0,0,0
